model_type,BERT_base_ft,0,0,0,0,0,0,0
128,768,768,768,128,768,1,0,"FP:K,Q,V projection,"
128,64,64,128,128,128,1,1,"FP:K.Q,"
128,128,128,64,128,64,1,0,"FP:KQT softmax * V,"
128,64,64,128,128,128,1,1,"FP:K.Q,"
128,128,128,64,128,64,1,0,"FP:KQT softmax * V,"
128,64,64,128,128,128,1,1,"FP:K.Q,"
128,128,128,64,128,64,1,0,"FP:KQT softmax * V,"
128,64,64,128,128,128,1,1,"FP:K.Q,"
128,128,128,64,128,64,1,0,"FP:KQT softmax * V,"
128,64,64,128,128,128,1,1,"FP:K.Q,"
128,128,128,64,128,64,1,0,"FP:KQT softmax * V,"
128,64,64,128,128,128,1,1,"FP:K.Q,"
128,128,128,64,128,64,1,0,"FP:KQT softmax * V,"
128,64,64,128,128,128,1,1,"FP:K.Q,"
128,128,128,64,128,64,1,0,"FP:KQT softmax * V,"
128,64,64,128,128,128,1,1,"FP:K.Q,"
128,128,128,64,128,64,1,0,"FP:KQT softmax * V,"
128,64,64,128,128,128,1,1,"FP:K.Q,"
128,128,128,64,128,64,1,0,"FP:KQT softmax * V,"
128,64,64,128,128,128,1,1,"FP:K.Q,"
128,128,128,64,128,64,1,0,"FP:KQT softmax * V,"
128,64,64,128,128,128,1,1,"FP:K.Q,"
128,128,128,64,128,64,1,0,"FP:KQT softmax * V,"
128,64,64,128,128,128,1,1,"FP:K.Q,"
128,128,128,64,128,64,1,0,"FP:KQT softmax * V,"
128,768,768,768,128,768,1,0,"FP:head concat,"
128,768,768,3072,128,3072,1,0,"FP:ff1,"
128,3072,3072,768,128,768,1,0,"FP:ff2,"
128,768,768,2,128,2,1,1,"FP:output weight projection,"
2,128,128,768,2,768,2,0,"W Gradient:weight_outputProjection,"
128,2,2,768,128,768,2,0,"BP:weight_outputProjection,"
128,768,768,3072,128,3072,2,0,"BP:weight_ff2,"
768,128,128,3072,768,3072,2,0,"W Gradient:weight_ff2,"
128,3072,3072,768,128,768,2,0,"BP:weight_ff1,"
3072,128,128,768,3072,768,2,0,"W Gradient:weight_ff1,"
128,768,768,768,128,768,2,0,"BP:weight_headConcat,"
768,128,128,768,768,768,2,0,"W Gradient:weight_headConcat,"
128,64,64,128,128,128,2,0,"BP:V,"
64,128,128,128,64,128,2,0,"BP:A,"
128,128,128,64,128,64,2,0,"BP:K,"
128,128,128,64,128,64,2,0,"BP:Q,"
128,64,64,128,128,128,2,0,"BP:V,"
64,128,128,128,64,128,2,0,"BP:A,"
128,128,128,64,128,64,2,0,"BP:K,"
128,128,128,64,128,64,2,0,"BP:Q,"
128,64,64,128,128,128,2,0,"BP:V,"
64,128,128,128,64,128,2,0,"BP:A,"
128,128,128,64,128,64,2,0,"BP:K,"
128,128,128,64,128,64,2,0,"BP:Q,"
128,64,64,128,128,128,2,0,"BP:V,"
64,128,128,128,64,128,2,0,"BP:A,"
128,128,128,64,128,64,2,0,"BP:K,"
128,128,128,64,128,64,2,0,"BP:Q,"
128,64,64,128,128,128,2,0,"BP:V,"
64,128,128,128,64,128,2,0,"BP:A,"
128,128,128,64,128,64,2,0,"BP:K,"
128,128,128,64,128,64,2,0,"BP:Q,"
128,64,64,128,128,128,2,0,"BP:V,"
64,128,128,128,64,128,2,0,"BP:A,"
128,128,128,64,128,64,2,0,"BP:K,"
128,128,128,64,128,64,2,0,"BP:Q,"
128,64,64,128,128,128,2,0,"BP:V,"
64,128,128,128,64,128,2,0,"BP:A,"
128,128,128,64,128,64,2,0,"BP:K,"
128,128,128,64,128,64,2,0,"BP:Q,"
128,64,64,128,128,128,2,0,"BP:V,"
64,128,128,128,64,128,2,0,"BP:A,"
128,128,128,64,128,64,2,0,"BP:K,"
128,128,128,64,128,64,2,0,"BP:Q,"
128,64,64,128,128,128,2,0,"BP:V,"
64,128,128,128,64,128,2,0,"BP:A,"
128,128,128,64,128,64,2,0,"BP:K,"
128,128,128,64,128,64,2,0,"BP:Q,"
128,64,64,128,128,128,2,0,"BP:V,"
64,128,128,128,64,128,2,0,"BP:A,"
128,128,128,64,128,64,2,0,"BP:K,"
128,128,128,64,128,64,2,0,"BP:Q,"
128,64,64,128,128,128,2,0,"BP:V,"
64,128,128,128,64,128,2,0,"BP:A,"
128,128,128,64,128,64,2,0,"BP:K,"
128,128,128,64,128,64,2,0,"BP:Q,"
128,64,64,128,128,128,2,0,"BP:V,"
64,128,128,128,64,128,2,0,"BP:A,"
128,128,128,64,128,64,2,0,"BP:K,"
128,128,128,64,128,64,2,0,"BP:Q,"
128,768,768,768,128,768,2,0,"BP:weight_vProjection,"
768,128,128,768,768,768,2,0,"W Gradient:weight_vProjection,"
128,768,768,768,128,768,2,0,"BP:weight_qProjection,"
768,128,128,768,768,768,2,0,"W Gradient:weight_qProjection,"
128,768,768,768,128,768,2,0,"BP:weight_kProjection,"
768,128,128,768,768,768,2,0,"W Gradient:weight_kProjection,"
128,768,768,3072,128,3072,2,0,"BP:weight_ff2,"
768,128,128,3072,768,3072,2,0,"W Gradient:weight_ff2,"
128,3072,3072,768,128,768,2,0,"BP:weight_ff1,"
3072,128,128,768,3072,768,2,0,"W Gradient:weight_ff1,"
128,768,768,768,128,768,2,0,"BP:weight_headConcat,"
768,128,128,768,768,768,2,0,"W Gradient:weight_headConcat,"
128,64,64,128,128,128,2,0,"BP:V,"
64,128,128,128,64,128,2,0,"BP:A,"
128,128,128,64,128,64,2,0,"BP:K,"
128,128,128,64,128,64,2,0,"BP:Q,"
128,64,64,128,128,128,2,0,"BP:V,"
64,128,128,128,64,128,2,0,"BP:A,"
128,128,128,64,128,64,2,0,"BP:K,"
128,128,128,64,128,64,2,0,"BP:Q,"
128,64,64,128,128,128,2,0,"BP:V,"
64,128,128,128,64,128,2,0,"BP:A,"
128,128,128,64,128,64,2,0,"BP:K,"
128,128,128,64,128,64,2,0,"BP:Q,"
128,64,64,128,128,128,2,0,"BP:V,"
64,128,128,128,64,128,2,0,"BP:A,"
128,128,128,64,128,64,2,0,"BP:K,"
128,128,128,64,128,64,2,0,"BP:Q,"
128,64,64,128,128,128,2,0,"BP:V,"
64,128,128,128,64,128,2,0,"BP:A,"
128,128,128,64,128,64,2,0,"BP:K,"
128,128,128,64,128,64,2,0,"BP:Q,"
128,64,64,128,128,128,2,0,"BP:V,"
64,128,128,128,64,128,2,0,"BP:A,"
128,128,128,64,128,64,2,0,"BP:K,"
128,128,128,64,128,64,2,0,"BP:Q,"
128,64,64,128,128,128,2,0,"BP:V,"
64,128,128,128,64,128,2,0,"BP:A,"
128,128,128,64,128,64,2,0,"BP:K,"
128,128,128,64,128,64,2,0,"BP:Q,"
128,64,64,128,128,128,2,0,"BP:V,"
64,128,128,128,64,128,2,0,"BP:A,"
128,128,128,64,128,64,2,0,"BP:K,"
128,128,128,64,128,64,2,0,"BP:Q,"
128,64,64,128,128,128,2,0,"BP:V,"
64,128,128,128,64,128,2,0,"BP:A,"
128,128,128,64,128,64,2,0,"BP:K,"
128,128,128,64,128,64,2,0,"BP:Q,"
128,64,64,128,128,128,2,0,"BP:V,"
64,128,128,128,64,128,2,0,"BP:A,"
128,128,128,64,128,64,2,0,"BP:K,"
128,128,128,64,128,64,2,0,"BP:Q,"
128,64,64,128,128,128,2,0,"BP:V,"
64,128,128,128,64,128,2,0,"BP:A,"
128,128,128,64,128,64,2,0,"BP:K,"
128,128,128,64,128,64,2,0,"BP:Q,"
128,64,64,128,128,128,2,0,"BP:V,"
64,128,128,128,64,128,2,0,"BP:A,"
128,128,128,64,128,64,2,0,"BP:K,"
128,128,128,64,128,64,2,0,"BP:Q,"
128,768,768,768,128,768,2,0,"BP:weight_vProjection,"
768,128,128,768,768,768,2,0,"W Gradient:weight_vProjection,"
128,768,768,768,128,768,2,0,"BP:weight_qProjection,"
768,128,128,768,768,768,2,0,"W Gradient:weight_qProjection,"
128,768,768,768,128,768,2,0,"BP:weight_kProjection,"
768,128,128,768,768,768,2,0,"W Gradient:weight_kProjection,"
128,768,768,3072,128,3072,2,0,"BP:weight_ff2,"
768,128,128,3072,768,3072,2,0,"W Gradient:weight_ff2,"
128,3072,3072,768,128,768,2,0,"BP:weight_ff1,"
3072,128,128,768,3072,768,2,0,"W Gradient:weight_ff1,"
128,768,768,768,128,768,2,0,"BP:weight_headConcat,"
768,128,128,768,768,768,2,0,"W Gradient:weight_headConcat,"
128,64,64,128,128,128,2,0,"BP:V,"
64,128,128,128,64,128,2,0,"BP:A,"
128,128,128,64,128,64,2,0,"BP:K,"
128,128,128,64,128,64,2,0,"BP:Q,"
128,64,64,128,128,128,2,0,"BP:V,"
64,128,128,128,64,128,2,0,"BP:A,"
128,128,128,64,128,64,2,0,"BP:K,"
128,128,128,64,128,64,2,0,"BP:Q,"
128,64,64,128,128,128,2,0,"BP:V,"
64,128,128,128,64,128,2,0,"BP:A,"
128,128,128,64,128,64,2,0,"BP:K,"
128,128,128,64,128,64,2,0,"BP:Q,"
128,64,64,128,128,128,2,0,"BP:V,"
64,128,128,128,64,128,2,0,"BP:A,"
128,128,128,64,128,64,2,0,"BP:K,"
128,128,128,64,128,64,2,0,"BP:Q,"
128,64,64,128,128,128,2,0,"BP:V,"
64,128,128,128,64,128,2,0,"BP:A,"
128,128,128,64,128,64,2,0,"BP:K,"
128,128,128,64,128,64,2,0,"BP:Q,"
128,64,64,128,128,128,2,0,"BP:V,"
64,128,128,128,64,128,2,0,"BP:A,"
128,128,128,64,128,64,2,0,"BP:K,"
128,128,128,64,128,64,2,0,"BP:Q,"
128,64,64,128,128,128,2,0,"BP:V,"
64,128,128,128,64,128,2,0,"BP:A,"
128,128,128,64,128,64,2,0,"BP:K,"
128,128,128,64,128,64,2,0,"BP:Q,"
128,64,64,128,128,128,2,0,"BP:V,"
64,128,128,128,64,128,2,0,"BP:A,"
128,128,128,64,128,64,2,0,"BP:K,"
128,128,128,64,128,64,2,0,"BP:Q,"
128,64,64,128,128,128,2,0,"BP:V,"
64,128,128,128,64,128,2,0,"BP:A,"
128,128,128,64,128,64,2,0,"BP:K,"
128,128,128,64,128,64,2,0,"BP:Q,"
128,64,64,128,128,128,2,0,"BP:V,"
64,128,128,128,64,128,2,0,"BP:A,"
128,128,128,64,128,64,2,0,"BP:K,"
128,128,128,64,128,64,2,0,"BP:Q,"
128,64,64,128,128,128,2,0,"BP:V,"
64,128,128,128,64,128,2,0,"BP:A,"
128,128,128,64,128,64,2,0,"BP:K,"
128,128,128,64,128,64,2,0,"BP:Q,"
128,64,64,128,128,128,2,0,"BP:V,"
64,128,128,128,64,128,2,0,"BP:A,"
128,128,128,64,128,64,2,0,"BP:K,"
128,128,128,64,128,64,2,0,"BP:Q,"
128,768,768,768,128,768,2,0,"BP:weight_vProjection,"
768,128,128,768,768,768,2,0,"W Gradient:weight_vProjection,"
128,768,768,768,128,768,2,0,"BP:weight_qProjection,"
768,128,128,768,768,768,2,0,"W Gradient:weight_qProjection,"
128,768,768,768,128,768,2,0,"BP:weight_kProjection,"
768,128,128,768,768,768,2,0,"W Gradient:weight_kProjection,"
128,768,768,3072,128,3072,2,0,"BP:weight_ff2,"
768,128,128,3072,768,3072,2,0,"W Gradient:weight_ff2,"
128,3072,3072,768,128,768,2,0,"BP:weight_ff1,"
3072,128,128,768,3072,768,2,0,"W Gradient:weight_ff1,"
128,768,768,768,128,768,2,0,"BP:weight_headConcat,"
768,128,128,768,768,768,2,0,"W Gradient:weight_headConcat,"
128,64,64,128,128,128,2,0,"BP:V,"
64,128,128,128,64,128,2,0,"BP:A,"
128,128,128,64,128,64,2,0,"BP:K,"
128,128,128,64,128,64,2,0,"BP:Q,"
128,64,64,128,128,128,2,0,"BP:V,"
64,128,128,128,64,128,2,0,"BP:A,"
128,128,128,64,128,64,2,0,"BP:K,"
128,128,128,64,128,64,2,0,"BP:Q,"
128,64,64,128,128,128,2,0,"BP:V,"
64,128,128,128,64,128,2,0,"BP:A,"
128,128,128,64,128,64,2,0,"BP:K,"
128,128,128,64,128,64,2,0,"BP:Q,"
128,64,64,128,128,128,2,0,"BP:V,"
64,128,128,128,64,128,2,0,"BP:A,"
128,128,128,64,128,64,2,0,"BP:K,"
128,128,128,64,128,64,2,0,"BP:Q,"
128,64,64,128,128,128,2,0,"BP:V,"
64,128,128,128,64,128,2,0,"BP:A,"
128,128,128,64,128,64,2,0,"BP:K,"
128,128,128,64,128,64,2,0,"BP:Q,"
128,64,64,128,128,128,2,0,"BP:V,"
64,128,128,128,64,128,2,0,"BP:A,"
128,128,128,64,128,64,2,0,"BP:K,"
128,128,128,64,128,64,2,0,"BP:Q,"
128,64,64,128,128,128,2,0,"BP:V,"
64,128,128,128,64,128,2,0,"BP:A,"
128,128,128,64,128,64,2,0,"BP:K,"
128,128,128,64,128,64,2,0,"BP:Q,"
128,64,64,128,128,128,2,0,"BP:V,"
64,128,128,128,64,128,2,0,"BP:A,"
128,128,128,64,128,64,2,0,"BP:K,"
128,128,128,64,128,64,2,0,"BP:Q,"
128,64,64,128,128,128,2,0,"BP:V,"
64,128,128,128,64,128,2,0,"BP:A,"
128,128,128,64,128,64,2,0,"BP:K,"
128,128,128,64,128,64,2,0,"BP:Q,"
128,64,64,128,128,128,2,0,"BP:V,"
64,128,128,128,64,128,2,0,"BP:A,"
128,128,128,64,128,64,2,0,"BP:K,"
128,128,128,64,128,64,2,0,"BP:Q,"
128,64,64,128,128,128,2,0,"BP:V,"
64,128,128,128,64,128,2,0,"BP:A,"
128,128,128,64,128,64,2,0,"BP:K,"
128,128,128,64,128,64,2,0,"BP:Q,"
128,64,64,128,128,128,2,0,"BP:V,"
64,128,128,128,64,128,2,0,"BP:A,"
128,128,128,64,128,64,2,0,"BP:K,"
128,128,128,64,128,64,2,0,"BP:Q,"
128,768,768,768,128,768,2,0,"BP:weight_vProjection,"
768,128,128,768,768,768,2,0,"W Gradient:weight_vProjection,"
128,768,768,768,128,768,2,0,"BP:weight_qProjection,"
768,128,128,768,768,768,2,0,"W Gradient:weight_qProjection,"
128,768,768,768,128,768,2,0,"BP:weight_kProjection,"
768,128,128,768,768,768,2,0,"W Gradient:weight_kProjection,"
128,768,768,3072,128,3072,2,0,"BP:weight_ff2,"
768,128,128,3072,768,3072,2,0,"W Gradient:weight_ff2,"
128,3072,3072,768,128,768,2,0,"BP:weight_ff1,"
3072,128,128,768,3072,768,2,0,"W Gradient:weight_ff1,"
128,768,768,768,128,768,2,0,"BP:weight_headConcat,"
768,128,128,768,768,768,2,0,"W Gradient:weight_headConcat,"
128,64,64,128,128,128,2,0,"BP:V,"
64,128,128,128,64,128,2,0,"BP:A,"
128,128,128,64,128,64,2,0,"BP:K,"
128,128,128,64,128,64,2,0,"BP:Q,"
128,64,64,128,128,128,2,0,"BP:V,"
64,128,128,128,64,128,2,0,"BP:A,"
128,128,128,64,128,64,2,0,"BP:K,"
128,128,128,64,128,64,2,0,"BP:Q,"
128,64,64,128,128,128,2,0,"BP:V,"
64,128,128,128,64,128,2,0,"BP:A,"
128,128,128,64,128,64,2,0,"BP:K,"
128,128,128,64,128,64,2,0,"BP:Q,"
128,64,64,128,128,128,2,0,"BP:V,"
64,128,128,128,64,128,2,0,"BP:A,"
128,128,128,64,128,64,2,0,"BP:K,"
128,128,128,64,128,64,2,0,"BP:Q,"
128,64,64,128,128,128,2,0,"BP:V,"
64,128,128,128,64,128,2,0,"BP:A,"
128,128,128,64,128,64,2,0,"BP:K,"
128,128,128,64,128,64,2,0,"BP:Q,"
128,64,64,128,128,128,2,0,"BP:V,"
64,128,128,128,64,128,2,0,"BP:A,"
128,128,128,64,128,64,2,0,"BP:K,"
128,128,128,64,128,64,2,0,"BP:Q,"
128,64,64,128,128,128,2,0,"BP:V,"
64,128,128,128,64,128,2,0,"BP:A,"
128,128,128,64,128,64,2,0,"BP:K,"
128,128,128,64,128,64,2,0,"BP:Q,"
128,64,64,128,128,128,2,0,"BP:V,"
64,128,128,128,64,128,2,0,"BP:A,"
128,128,128,64,128,64,2,0,"BP:K,"
128,128,128,64,128,64,2,0,"BP:Q,"
128,64,64,128,128,128,2,0,"BP:V,"
64,128,128,128,64,128,2,0,"BP:A,"
128,128,128,64,128,64,2,0,"BP:K,"
128,128,128,64,128,64,2,0,"BP:Q,"
128,64,64,128,128,128,2,0,"BP:V,"
64,128,128,128,64,128,2,0,"BP:A,"
128,128,128,64,128,64,2,0,"BP:K,"
128,128,128,64,128,64,2,0,"BP:Q,"
128,64,64,128,128,128,2,0,"BP:V,"
64,128,128,128,64,128,2,0,"BP:A,"
128,128,128,64,128,64,2,0,"BP:K,"
128,128,128,64,128,64,2,0,"BP:Q,"
128,64,64,128,128,128,2,0,"BP:V,"
64,128,128,128,64,128,2,0,"BP:A,"
128,128,128,64,128,64,2,0,"BP:K,"
128,128,128,64,128,64,2,0,"BP:Q,"
128,768,768,768,128,768,2,0,"BP:weight_vProjection,"
768,128,128,768,768,768,2,0,"W Gradient:weight_vProjection,"
128,768,768,768,128,768,2,0,"BP:weight_qProjection,"
768,128,128,768,768,768,2,0,"W Gradient:weight_qProjection,"
128,768,768,768,128,768,2,0,"BP:weight_kProjection,"
768,128,128,768,768,768,2,0,"W Gradient:weight_kProjection,"
128,768,768,3072,128,3072,2,0,"BP:weight_ff2,"
768,128,128,3072,768,3072,2,0,"W Gradient:weight_ff2,"
128,3072,3072,768,128,768,2,0,"BP:weight_ff1,"
3072,128,128,768,3072,768,2,0,"W Gradient:weight_ff1,"
128,768,768,768,128,768,2,0,"BP:weight_headConcat,"
768,128,128,768,768,768,2,0,"W Gradient:weight_headConcat,"
128,64,64,128,128,128,2,0,"BP:V,"
64,128,128,128,64,128,2,0,"BP:A,"
128,128,128,64,128,64,2,0,"BP:K,"
128,128,128,64,128,64,2,0,"BP:Q,"
128,64,64,128,128,128,2,0,"BP:V,"
64,128,128,128,64,128,2,0,"BP:A,"
128,128,128,64,128,64,2,0,"BP:K,"
128,128,128,64,128,64,2,0,"BP:Q,"
128,64,64,128,128,128,2,0,"BP:V,"
64,128,128,128,64,128,2,0,"BP:A,"
128,128,128,64,128,64,2,0,"BP:K,"
128,128,128,64,128,64,2,0,"BP:Q,"
128,64,64,128,128,128,2,0,"BP:V,"
64,128,128,128,64,128,2,0,"BP:A,"
128,128,128,64,128,64,2,0,"BP:K,"
128,128,128,64,128,64,2,0,"BP:Q,"
128,64,64,128,128,128,2,0,"BP:V,"
64,128,128,128,64,128,2,0,"BP:A,"
128,128,128,64,128,64,2,0,"BP:K,"
128,128,128,64,128,64,2,0,"BP:Q,"
128,64,64,128,128,128,2,0,"BP:V,"
64,128,128,128,64,128,2,0,"BP:A,"
128,128,128,64,128,64,2,0,"BP:K,"
128,128,128,64,128,64,2,0,"BP:Q,"
128,64,64,128,128,128,2,0,"BP:V,"
64,128,128,128,64,128,2,0,"BP:A,"
128,128,128,64,128,64,2,0,"BP:K,"
128,128,128,64,128,64,2,0,"BP:Q,"
128,64,64,128,128,128,2,0,"BP:V,"
64,128,128,128,64,128,2,0,"BP:A,"
128,128,128,64,128,64,2,0,"BP:K,"
128,128,128,64,128,64,2,0,"BP:Q,"
128,64,64,128,128,128,2,0,"BP:V,"
64,128,128,128,64,128,2,0,"BP:A,"
128,128,128,64,128,64,2,0,"BP:K,"
