model_type,BERT_small_adapter_cl,0,0,0,0,0,0,0
128,512,512,512,128,512,0,0,"FP:K,Q,V projection,"
128,512,512,512,128,512,0,0,"FP:K,Q,V projection,"
128,512,512,512,128,512,0,0,"FP:K,Q,V projection,"
128,128,128,128,128,128,1,1,"FP:K.Q,"
128,128,128,128,128,128,1,0,"FP:KQT softmax * V,"
128,128,128,128,128,128,1,1,"FP:K.Q,"
128,128,128,128,128,128,1,0,"FP:KQT softmax * V,"
128,128,128,128,128,128,1,1,"FP:K.Q,"
128,128,128,128,128,128,1,0,"FP:KQT softmax * V,"
128,128,128,128,128,128,1,1,"FP:K.Q,"
128,128,128,128,128,128,1,0,"FP:KQT softmax * V,"
128,512,512,512,128,512,0,0,"FP:head contact,"
128,512,512,32,128,32,1,0,"FP:adapter 1-1,"
128,32,32,512,128,512,1,0,"FP:adapter 1-2,"
128,512,512,2048,128,2048,0,0,"FP:ff1,"
128,2048,2048,512,128,512,0,0,"FP:ff2,"
128,512,512,32,128,32,1,0,"FP:adapter 2-1,"
128,32,32,512,128,512,1,0,"FP:adapter 2-2,"
128,512,512,512,128,512,0,0,"FP:K,Q,V projection,"
128,512,512,512,128,512,0,0,"FP:K,Q,V projection,"
128,512,512,512,128,512,0,0,"FP:K,Q,V projection,"
128,128,128,128,128,128,1,1,"FP:K.Q,"
128,128,128,128,128,128,1,0,"FP:KQT softmax * V,"
128,128,128,128,128,128,1,1,"FP:K.Q,"
128,128,128,128,128,128,1,0,"FP:KQT softmax * V,"
128,128,128,128,128,128,1,1,"FP:K.Q,"
128,128,128,128,128,128,1,0,"FP:KQT softmax * V,"
128,128,128,128,128,128,1,1,"FP:K.Q,"
128,128,128,128,128,128,1,0,"FP:KQT softmax * V,"
128,512,512,512,128,512,0,0,"FP:head contact,"
128,512,512,32,128,32,1,0,"FP:adapter 1-1,"
128,32,32,512,128,512,1,0,"FP:adapter 1-2,"
128,512,512,2048,128,2048,0,0,"FP:ff1,"
128,2048,2048,512,128,512,0,0,"FP:ff2,"
128,512,512,32,128,32,1,0,"FP:adapter 2-1,"
128,32,32,512,128,512,1,0,"FP:adapter 2-2,"
128,512,512,512,128,512,0,0,"FP:K,Q,V projection,"
128,512,512,512,128,512,0,0,"FP:K,Q,V projection,"
128,512,512,512,128,512,0,0,"FP:K,Q,V projection,"
128,128,128,128,128,128,1,1,"FP:K.Q,"
128,128,128,128,128,128,1,0,"FP:KQT softmax * V,"
128,128,128,128,128,128,1,1,"FP:K.Q,"
128,128,128,128,128,128,1,0,"FP:KQT softmax * V,"
128,128,128,128,128,128,1,1,"FP:K.Q,"
128,128,128,128,128,128,1,0,"FP:KQT softmax * V,"
128,128,128,128,128,128,1,1,"FP:K.Q,"
128,128,128,128,128,128,1,0,"FP:KQT softmax * V,"
128,512,512,512,128,512,0,0,"FP:head contact,"
128,512,512,32,128,32,1,0,"FP:adapter 1-1,"
128,32,32,512,128,512,1,0,"FP:adapter 1-2,"
128,512,512,2048,128,2048,0,0,"FP:ff1,"
128,2048,2048,512,128,512,0,0,"FP:ff2,"
128,512,512,32,128,32,1,0,"FP:adapter 2-1,"
128,32,32,512,128,512,1,0,"FP:adapter 2-2,"
128,512,512,512,128,512,0,0,"FP:K,Q,V projection,"
128,512,512,512,128,512,0,0,"FP:K,Q,V projection,"
128,512,512,512,128,512,0,0,"FP:K,Q,V projection,"
128,128,128,128,128,128,1,1,"FP:K.Q,"
128,128,128,128,128,128,1,0,"FP:KQT softmax * V,"
128,128,128,128,128,128,1,1,"FP:K.Q,"
128,128,128,128,128,128,1,0,"FP:KQT softmax * V,"
128,128,128,128,128,128,1,1,"FP:K.Q,"
128,128,128,128,128,128,1,0,"FP:KQT softmax * V,"
128,128,128,128,128,128,1,1,"FP:K.Q,"
128,128,128,128,128,128,1,0,"FP:KQT softmax * V,"
128,512,512,512,128,512,0,0,"FP:head contact,"
128,512,512,32,128,32,1,0,"FP:adapter 1-1,"
128,32,32,512,128,512,1,0,"FP:adapter 1-2,"
128,512,512,2048,128,2048,0,0,"FP:ff1,"
128,2048,2048,512,128,512,0,0,"FP:ff2,"
128,512,512,32,128,32,1,0,"FP:adapter 2-1,"
128,32,32,512,128,512,1,0,"FP:adapter 2-2,"
128,512,512,2,128,2,1,1,"FP:output weight projection,"
2,128,128,512,2,512,2,0,"W Gradient:weight_outputProjection,"
128,2,2,512,128,512,2,0,"BP:weight_outputProjection,"
128,512,512,32,128,32,2,0,"BP:weight_adapter2-2,"
512,128,128,32,512,32,2,0,"W Gradient:weight_adapter2-2,"
128,32,32,512,128,512,2,0,"BP:weight_adapter2-1,"
32,128,128,512,32,512,2,0,"W Gradient:weight_adapter2-1,"
128,512,512,2048,128,2048,0,0,"BP:weight_ff2,"
128,2048,2048,512,128,512,0,0,"BP:weight_ff1,"
128,512,512,32,128,32,2,0,"BP:weight_adapter1-2,"
512,128,128,32,512,32,2,0,"W Gradient:weight_adapter1-2,"
128,32,32,512,128,512,2,0,"BP:weight_adapter1-1,"
32,128,128,512,32,512,2,0,"W Gradient:weight_adapter1-1,"
128,512,512,512,128,512,0,0,"BP:weight_headContact,"
128,128,128,128,128,128,2,0,"BP:V,"
128,128,128,128,128,128,2,0,"BP:Q,"
128,128,128,128,128,128,2,0,"BP:V,"
128,128,128,128,128,128,2,0,"BP:Q,"
128,128,128,128,128,128,2,0,"BP:V,"
128,128,128,128,128,128,2,0,"BP:Q,"
128,128,128,128,128,128,2,0,"BP:V,"
128,128,128,128,128,128,2,0,"BP:Q,"
128,512,512,512,128,512,0,0,"BP:weight_kProjection,"
128,512,512,32,128,32,2,0,"BP:weight_adapter2-2,"
512,128,128,32,512,32,2,0,"W Gradient:weight_adapter2-2,"
128,32,32,512,128,512,2,0,"BP:weight_adapter2-1,"
32,128,128,512,32,512,2,0,"W Gradient:weight_adapter2-1,"
128,512,512,2048,128,2048,0,0,"BP:weight_ff2,"
128,2048,2048,512,128,512,0,0,"BP:weight_ff1,"
128,512,512,32,128,32,2,0,"BP:weight_adapter1-2,"
512,128,128,32,512,32,2,0,"W Gradient:weight_adapter1-2,"
128,32,32,512,128,512,2,0,"BP:weight_adapter1-1,"
32,128,128,512,32,512,2,0,"W Gradient:weight_adapter1-1,"
128,512,512,512,128,512,0,0,"BP:weight_headContact,"
128,128,128,128,128,128,2,0,"BP:V,"
128,128,128,128,128,128,2,0,"BP:Q,"
128,128,128,128,128,128,2,0,"BP:V,"
128,128,128,128,128,128,2,0,"BP:Q,"
128,128,128,128,128,128,2,0,"BP:V,"
128,128,128,128,128,128,2,0,"BP:Q,"
128,128,128,128,128,128,2,0,"BP:V,"
128,128,128,128,128,128,2,0,"BP:Q,"
128,512,512,512,128,512,0,0,"BP:weight_kProjection,"
128,512,512,32,128,32,2,0,"BP:weight_adapter2-2,"
512,128,128,32,512,32,2,0,"W Gradient:weight_adapter2-2,"
128,32,32,512,128,512,2,0,"BP:weight_adapter2-1,"
32,128,128,512,32,512,2,0,"W Gradient:weight_adapter2-1,"
128,512,512,2048,128,2048,0,0,"BP:weight_ff2,"
128,2048,2048,512,128,512,0,0,"BP:weight_ff1,"
128,512,512,32,128,32,2,0,"BP:weight_adapter1-2,"
512,128,128,32,512,32,2,0,"W Gradient:weight_adapter1-2,"
128,32,32,512,128,512,2,0,"BP:weight_adapter1-1,"
32,128,128,512,32,512,2,0,"W Gradient:weight_adapter1-1,"
128,512,512,512,128,512,0,0,"BP:weight_headContact,"
128,128,128,128,128,128,2,0,"BP:V,"
128,128,128,128,128,128,2,0,"BP:Q,"
128,128,128,128,128,128,2,0,"BP:V,"
128,128,128,128,128,128,2,0,"BP:Q,"
128,128,128,128,128,128,2,0,"BP:V,"
128,128,128,128,128,128,2,0,"BP:Q,"
128,128,128,128,128,128,2,0,"BP:V,"
128,128,128,128,128,128,2,0,"BP:Q,"
128,512,512,512,128,512,0,0,"BP:weight_kProjection,"
128,512,512,32,128,32,2,0,"BP:weight_adapter2-2,"
512,128,128,32,512,32,2,0,"W Gradient:weight_adapter2-2,"
128,32,32,512,128,512,2,0,"BP:weight_adapter2-1,"
32,128,128,512,32,512,2,0,"W Gradient:weight_adapter2-1,"
128,512,512,2048,128,2048,0,0,"BP:weight_ff2,"
128,2048,2048,512,128,512,0,0,"BP:weight_ff1,"
128,512,512,32,128,32,2,0,"BP:weight_adapter1-2,"
512,128,128,32,512,32,2,0,"W Gradient:weight_adapter1-2,"
128,32,32,512,128,512,2,0,"BP:weight_adapter1-1,"
32,128,128,512,32,512,2,0,"W Gradient:weight_adapter1-1,"
128,512,512,512,128,512,0,0,"BP:weight_headContact,"
128,128,128,128,128,128,2,0,"BP:V,"
128,128,128,128,128,128,2,0,"BP:Q,"
128,128,128,128,128,128,2,0,"BP:V,"
128,128,128,128,128,128,2,0,"BP:Q,"
128,128,128,128,128,128,2,0,"BP:V,"
128,128,128,128,128,128,2,0,"BP:Q,"
128,128,128,128,128,128,2,0,"BP:V,"
128,128,128,128,128,128,2,0,"BP:Q,"
