model_type,DeiT_inf,0,0,0,0,0,0,0
196,768,768,768,196,768,0,0,"Token Generation,"
196,768,768,768,196,768,0,0,"K,Q,V projection,"
196,768,768,768,196,768,0,0,"K,Q,V projection,"
196,768,768,768,196,768,0,0,"K,Q,V projection,"
196,64,64,196,196,196,1,1,"K.Q,"
196,196,196,64,196,64,1,0,"KQT softmax * V,"
196,64,64,196,196,196,1,1,"K.Q,"
196,196,196,64,196,64,1,0,"KQT softmax * V,"
196,64,64,196,196,196,1,1,"K.Q,"
196,196,196,64,196,64,1,0,"KQT softmax * V,"
196,64,64,196,196,196,1,1,"K.Q,"
196,196,196,64,196,64,1,0,"KQT softmax * V,"
196,64,64,196,196,196,1,1,"K.Q,"
196,196,196,64,196,64,1,0,"KQT softmax * V,"
196,64,64,196,196,196,1,1,"K.Q,"
196,196,196,64,196,64,1,0,"KQT softmax * V,"
196,64,64,196,196,196,1,1,"K.Q,"
196,196,196,64,196,64,1,0,"KQT softmax * V,"
196,64,64,196,196,196,1,1,"K.Q,"
196,196,196,64,196,64,1,0,"KQT softmax * V,"
196,64,64,196,196,196,1,1,"K.Q,"
196,196,196,64,196,64,1,0,"KQT softmax * V,"
196,64,64,196,196,196,1,1,"K.Q,"
196,196,196,64,196,64,1,0,"KQT softmax * V,"
196,64,64,196,196,196,1,1,"K.Q,"
196,196,196,64,196,64,1,0,"KQT softmax * V,"
196,64,64,196,196,196,1,1,"K.Q,"
196,196,196,64,196,64,1,0,"KQT softmax * V,"
196,768,768,768,196,768,0,0,"head contact,"
196,768,768,3072,196,3072,0,0,"ff1,"
196,3072,3072,768,196,768,0,0,"ff2,"
196,768,768,768,196,768,0,0,"K,Q,V projection,"
196,768,768,768,196,768,0,0,"K,Q,V projection,"
196,768,768,768,196,768,0,0,"K,Q,V projection,"
196,64,64,196,196,196,1,1,"K.Q,"
196,196,196,64,196,64,1,0,"KQT softmax * V,"
196,64,64,196,196,196,1,1,"K.Q,"
196,196,196,64,196,64,1,0,"KQT softmax * V,"
196,64,64,196,196,196,1,1,"K.Q,"
196,196,196,64,196,64,1,0,"KQT softmax * V,"
196,64,64,196,196,196,1,1,"K.Q,"
196,196,196,64,196,64,1,0,"KQT softmax * V,"
196,64,64,196,196,196,1,1,"K.Q,"
196,196,196,64,196,64,1,0,"KQT softmax * V,"
196,64,64,196,196,196,1,1,"K.Q,"
196,196,196,64,196,64,1,0,"KQT softmax * V,"
196,64,64,196,196,196,1,1,"K.Q,"
196,196,196,64,196,64,1,0,"KQT softmax * V,"
196,64,64,196,196,196,1,1,"K.Q,"
196,196,196,64,196,64,1,0,"KQT softmax * V,"
196,64,64,196,196,196,1,1,"K.Q,"
196,196,196,64,196,64,1,0,"KQT softmax * V,"
196,64,64,196,196,196,1,1,"K.Q,"
196,196,196,64,196,64,1,0,"KQT softmax * V,"
196,64,64,196,196,196,1,1,"K.Q,"
196,196,196,64,196,64,1,0,"KQT softmax * V,"
196,64,64,196,196,196,1,1,"K.Q,"
196,196,196,64,196,64,1,0,"KQT softmax * V,"
196,768,768,768,196,768,0,0,"head contact,"
196,768,768,3072,196,3072,0,0,"ff1,"
196,3072,3072,768,196,768,0,0,"ff2,"
196,768,768,768,196,768,0,0,"K,Q,V projection,"
196,768,768,768,196,768,0,0,"K,Q,V projection,"
196,768,768,768,196,768,0,0,"K,Q,V projection,"
196,64,64,196,196,196,1,1,"K.Q,"
196,196,196,64,196,64,1,0,"KQT softmax * V,"
196,64,64,196,196,196,1,1,"K.Q,"
196,196,196,64,196,64,1,0,"KQT softmax * V,"
196,64,64,196,196,196,1,1,"K.Q,"
196,196,196,64,196,64,1,0,"KQT softmax * V,"
196,64,64,196,196,196,1,1,"K.Q,"
196,196,196,64,196,64,1,0,"KQT softmax * V,"
196,64,64,196,196,196,1,1,"K.Q,"
196,196,196,64,196,64,1,0,"KQT softmax * V,"
196,64,64,196,196,196,1,1,"K.Q,"
196,196,196,64,196,64,1,0,"KQT softmax * V,"
196,64,64,196,196,196,1,1,"K.Q,"
196,196,196,64,196,64,1,0,"KQT softmax * V,"
196,64,64,196,196,196,1,1,"K.Q,"
196,196,196,64,196,64,1,0,"KQT softmax * V,"
196,64,64,196,196,196,1,1,"K.Q,"
196,196,196,64,196,64,1,0,"KQT softmax * V,"
196,64,64,196,196,196,1,1,"K.Q,"
196,196,196,64,196,64,1,0,"KQT softmax * V,"
196,64,64,196,196,196,1,1,"K.Q,"
196,196,196,64,196,64,1,0,"KQT softmax * V,"
196,64,64,196,196,196,1,1,"K.Q,"
196,196,196,64,196,64,1,0,"KQT softmax * V,"
196,768,768,768,196,768,0,0,"head contact,"
196,768,768,3072,196,3072,0,0,"ff1,"
196,3072,3072,768,196,768,0,0,"ff2,"
196,768,768,768,196,768,0,0,"K,Q,V projection,"
196,768,768,768,196,768,0,0,"K,Q,V projection,"
196,768,768,768,196,768,0,0,"K,Q,V projection,"
196,64,64,196,196,196,1,1,"K.Q,"
196,196,196,64,196,64,1,0,"KQT softmax * V,"
196,64,64,196,196,196,1,1,"K.Q,"
196,196,196,64,196,64,1,0,"KQT softmax * V,"
196,64,64,196,196,196,1,1,"K.Q,"
196,196,196,64,196,64,1,0,"KQT softmax * V,"
196,64,64,196,196,196,1,1,"K.Q,"
196,196,196,64,196,64,1,0,"KQT softmax * V,"
196,64,64,196,196,196,1,1,"K.Q,"
196,196,196,64,196,64,1,0,"KQT softmax * V,"
196,64,64,196,196,196,1,1,"K.Q,"
196,196,196,64,196,64,1,0,"KQT softmax * V,"
196,64,64,196,196,196,1,1,"K.Q,"
196,196,196,64,196,64,1,0,"KQT softmax * V,"
196,64,64,196,196,196,1,1,"K.Q,"
196,196,196,64,196,64,1,0,"KQT softmax * V,"
196,64,64,196,196,196,1,1,"K.Q,"
196,196,196,64,196,64,1,0,"KQT softmax * V,"
196,64,64,196,196,196,1,1,"K.Q,"
196,196,196,64,196,64,1,0,"KQT softmax * V,"
196,64,64,196,196,196,1,1,"K.Q,"
196,196,196,64,196,64,1,0,"KQT softmax * V,"
196,64,64,196,196,196,1,1,"K.Q,"
196,196,196,64,196,64,1,0,"KQT softmax * V,"
196,768,768,768,196,768,0,0,"head contact,"
196,768,768,3072,196,3072,0,0,"ff1,"
196,3072,3072,768,196,768,0,0,"ff2,"
196,768,768,768,196,768,0,0,"K,Q,V projection,"
196,768,768,768,196,768,0,0,"K,Q,V projection,"
196,768,768,768,196,768,0,0,"K,Q,V projection,"
196,64,64,196,196,196,1,1,"K.Q,"
196,196,196,64,196,64,1,0,"KQT softmax * V,"
196,64,64,196,196,196,1,1,"K.Q,"
196,196,196,64,196,64,1,0,"KQT softmax * V,"
196,64,64,196,196,196,1,1,"K.Q,"
196,196,196,64,196,64,1,0,"KQT softmax * V,"
196,64,64,196,196,196,1,1,"K.Q,"
196,196,196,64,196,64,1,0,"KQT softmax * V,"
196,64,64,196,196,196,1,1,"K.Q,"
196,196,196,64,196,64,1,0,"KQT softmax * V,"
196,64,64,196,196,196,1,1,"K.Q,"
196,196,196,64,196,64,1,0,"KQT softmax * V,"
196,64,64,196,196,196,1,1,"K.Q,"
196,196,196,64,196,64,1,0,"KQT softmax * V,"
196,64,64,196,196,196,1,1,"K.Q,"
196,196,196,64,196,64,1,0,"KQT softmax * V,"
196,64,64,196,196,196,1,1,"K.Q,"
196,196,196,64,196,64,1,0,"KQT softmax * V,"
196,64,64,196,196,196,1,1,"K.Q,"
196,196,196,64,196,64,1,0,"KQT softmax * V,"
196,64,64,196,196,196,1,1,"K.Q,"
196,196,196,64,196,64,1,0,"KQT softmax * V,"
196,64,64,196,196,196,1,1,"K.Q,"
196,196,196,64,196,64,1,0,"KQT softmax * V,"
196,768,768,768,196,768,0,0,"head contact,"
196,768,768,3072,196,3072,0,0,"ff1,"
196,3072,3072,768,196,768,0,0,"ff2,"
196,768,768,768,196,768,0,0,"K,Q,V projection,"
196,768,768,768,196,768,0,0,"K,Q,V projection,"
196,768,768,768,196,768,0,0,"K,Q,V projection,"
196,64,64,196,196,196,1,1,"K.Q,"
196,196,196,64,196,64,1,0,"KQT softmax * V,"
196,64,64,196,196,196,1,1,"K.Q,"
196,196,196,64,196,64,1,0,"KQT softmax * V,"
196,64,64,196,196,196,1,1,"K.Q,"
196,196,196,64,196,64,1,0,"KQT softmax * V,"
196,64,64,196,196,196,1,1,"K.Q,"
196,196,196,64,196,64,1,0,"KQT softmax * V,"
196,64,64,196,196,196,1,1,"K.Q,"
196,196,196,64,196,64,1,0,"KQT softmax * V,"
196,64,64,196,196,196,1,1,"K.Q,"
196,196,196,64,196,64,1,0,"KQT softmax * V,"
196,64,64,196,196,196,1,1,"K.Q,"
196,196,196,64,196,64,1,0,"KQT softmax * V,"
196,64,64,196,196,196,1,1,"K.Q,"
196,196,196,64,196,64,1,0,"KQT softmax * V,"
196,64,64,196,196,196,1,1,"K.Q,"
196,196,196,64,196,64,1,0,"KQT softmax * V,"
196,64,64,196,196,196,1,1,"K.Q,"
196,196,196,64,196,64,1,0,"KQT softmax * V,"
196,64,64,196,196,196,1,1,"K.Q,"
196,196,196,64,196,64,1,0,"KQT softmax * V,"
196,64,64,196,196,196,1,1,"K.Q,"
196,196,196,64,196,64,1,0,"KQT softmax * V,"
196,768,768,768,196,768,0,0,"head contact,"
196,768,768,3072,196,3072,0,0,"ff1,"
196,3072,3072,768,196,768,0,0,"ff2,"
196,768,768,768,196,768,0,0,"K,Q,V projection,"
196,768,768,768,196,768,0,0,"K,Q,V projection,"
196,768,768,768,196,768,0,0,"K,Q,V projection,"
196,64,64,196,196,196,1,1,"K.Q,"
196,196,196,64,196,64,1,0,"KQT softmax * V,"
196,64,64,196,196,196,1,1,"K.Q,"
196,196,196,64,196,64,1,0,"KQT softmax * V,"
196,64,64,196,196,196,1,1,"K.Q,"
196,196,196,64,196,64,1,0,"KQT softmax * V,"
196,64,64,196,196,196,1,1,"K.Q,"
196,196,196,64,196,64,1,0,"KQT softmax * V,"
196,64,64,196,196,196,1,1,"K.Q,"
196,196,196,64,196,64,1,0,"KQT softmax * V,"
196,64,64,196,196,196,1,1,"K.Q,"
196,196,196,64,196,64,1,0,"KQT softmax * V,"
196,64,64,196,196,196,1,1,"K.Q,"
196,196,196,64,196,64,1,0,"KQT softmax * V,"
196,64,64,196,196,196,1,1,"K.Q,"
196,196,196,64,196,64,1,0,"KQT softmax * V,"
196,64,64,196,196,196,1,1,"K.Q,"
196,196,196,64,196,64,1,0,"KQT softmax * V,"
196,64,64,196,196,196,1,1,"K.Q,"
196,196,196,64,196,64,1,0,"KQT softmax * V,"
196,64,64,196,196,196,1,1,"K.Q,"
196,196,196,64,196,64,1,0,"KQT softmax * V,"
196,64,64,196,196,196,1,1,"K.Q,"
196,196,196,64,196,64,1,0,"KQT softmax * V,"
196,768,768,768,196,768,0,0,"head contact,"
196,768,768,3072,196,3072,0,0,"ff1,"
196,3072,3072,768,196,768,0,0,"ff2,"
196,768,768,768,196,768,0,0,"K,Q,V projection,"
196,768,768,768,196,768,0,0,"K,Q,V projection,"
196,768,768,768,196,768,0,0,"K,Q,V projection,"
196,64,64,196,196,196,1,1,"K.Q,"
196,196,196,64,196,64,1,0,"KQT softmax * V,"
196,64,64,196,196,196,1,1,"K.Q,"
196,196,196,64,196,64,1,0,"KQT softmax * V,"
196,64,64,196,196,196,1,1,"K.Q,"
196,196,196,64,196,64,1,0,"KQT softmax * V,"
196,64,64,196,196,196,1,1,"K.Q,"
196,196,196,64,196,64,1,0,"KQT softmax * V,"
196,64,64,196,196,196,1,1,"K.Q,"
196,196,196,64,196,64,1,0,"KQT softmax * V,"
196,64,64,196,196,196,1,1,"K.Q,"
196,196,196,64,196,64,1,0,"KQT softmax * V,"
196,64,64,196,196,196,1,1,"K.Q,"
196,196,196,64,196,64,1,0,"KQT softmax * V,"
196,64,64,196,196,196,1,1,"K.Q,"
196,196,196,64,196,64,1,0,"KQT softmax * V,"
196,64,64,196,196,196,1,1,"K.Q,"
196,196,196,64,196,64,1,0,"KQT softmax * V,"
196,64,64,196,196,196,1,1,"K.Q,"
196,196,196,64,196,64,1,0,"KQT softmax * V,"
196,64,64,196,196,196,1,1,"K.Q,"
196,196,196,64,196,64,1,0,"KQT softmax * V,"
196,64,64,196,196,196,1,1,"K.Q,"
196,196,196,64,196,64,1,0,"KQT softmax * V,"
196,768,768,768,196,768,0,0,"head contact,"
196,768,768,3072,196,3072,0,0,"ff1,"
196,3072,3072,768,196,768,0,0,"ff2,"
196,768,768,768,196,768,0,0,"K,Q,V projection,"
196,768,768,768,196,768,0,0,"K,Q,V projection,"
196,768,768,768,196,768,0,0,"K,Q,V projection,"
196,64,64,196,196,196,1,1,"K.Q,"
196,196,196,64,196,64,1,0,"KQT softmax * V,"
196,64,64,196,196,196,1,1,"K.Q,"
196,196,196,64,196,64,1,0,"KQT softmax * V,"
196,64,64,196,196,196,1,1,"K.Q,"
196,196,196,64,196,64,1,0,"KQT softmax * V,"
196,64,64,196,196,196,1,1,"K.Q,"
196,196,196,64,196,64,1,0,"KQT softmax * V,"
196,64,64,196,196,196,1,1,"K.Q,"
196,196,196,64,196,64,1,0,"KQT softmax * V,"
196,64,64,196,196,196,1,1,"K.Q,"
196,196,196,64,196,64,1,0,"KQT softmax * V,"
196,64,64,196,196,196,1,1,"K.Q,"
196,196,196,64,196,64,1,0,"KQT softmax * V,"
196,64,64,196,196,196,1,1,"K.Q,"
196,196,196,64,196,64,1,0,"KQT softmax * V,"
196,64,64,196,196,196,1,1,"K.Q,"
196,196,196,64,196,64,1,0,"KQT softmax * V,"
196,64,64,196,196,196,1,1,"K.Q,"
196,196,196,64,196,64,1,0,"KQT softmax * V,"
196,64,64,196,196,196,1,1,"K.Q,"
196,196,196,64,196,64,1,0,"KQT softmax * V,"
196,64,64,196,196,196,1,1,"K.Q,"
196,196,196,64,196,64,1,0,"KQT softmax * V,"
196,768,768,768,196,768,0,0,"head contact,"
196,768,768,3072,196,3072,0,0,"ff1,"
196,3072,3072,768,196,768,0,0,"ff2,"
196,768,768,768,196,768,0,0,"K,Q,V projection,"
196,768,768,768,196,768,0,0,"K,Q,V projection,"
196,768,768,768,196,768,0,0,"K,Q,V projection,"
196,64,64,196,196,196,1,1,"K.Q,"
196,196,196,64,196,64,1,0,"KQT softmax * V,"
196,64,64,196,196,196,1,1,"K.Q,"
196,196,196,64,196,64,1,0,"KQT softmax * V,"
196,64,64,196,196,196,1,1,"K.Q,"
196,196,196,64,196,64,1,0,"KQT softmax * V,"
196,64,64,196,196,196,1,1,"K.Q,"
196,196,196,64,196,64,1,0,"KQT softmax * V,"
196,64,64,196,196,196,1,1,"K.Q,"
196,196,196,64,196,64,1,0,"KQT softmax * V,"
196,64,64,196,196,196,1,1,"K.Q,"
196,196,196,64,196,64,1,0,"KQT softmax * V,"
196,64,64,196,196,196,1,1,"K.Q,"
196,196,196,64,196,64,1,0,"KQT softmax * V,"
196,64,64,196,196,196,1,1,"K.Q,"
196,196,196,64,196,64,1,0,"KQT softmax * V,"
196,64,64,196,196,196,1,1,"K.Q,"
196,196,196,64,196,64,1,0,"KQT softmax * V,"
196,64,64,196,196,196,1,1,"K.Q,"
196,196,196,64,196,64,1,0,"KQT softmax * V,"
196,64,64,196,196,196,1,1,"K.Q,"
196,196,196,64,196,64,1,0,"KQT softmax * V,"
196,64,64,196,196,196,1,1,"K.Q,"
196,196,196,64,196,64,1,0,"KQT softmax * V,"
196,768,768,768,196,768,0,0,"head contact,"
196,768,768,3072,196,3072,0,0,"ff1,"
196,3072,3072,768,196,768,0,0,"ff2,"
196,768,768,768,196,768,0,0,"K,Q,V projection,"
196,768,768,768,196,768,0,0,"K,Q,V projection,"
196,768,768,768,196,768,0,0,"K,Q,V projection,"
196,64,64,196,196,196,1,1,"K.Q,"
196,196,196,64,196,64,1,0,"KQT softmax * V,"
196,64,64,196,196,196,1,1,"K.Q,"
196,196,196,64,196,64,1,0,"KQT softmax * V,"
196,64,64,196,196,196,1,1,"K.Q,"
196,196,196,64,196,64,1,0,"KQT softmax * V,"
196,64,64,196,196,196,1,1,"K.Q,"
196,196,196,64,196,64,1,0,"KQT softmax * V,"
196,64,64,196,196,196,1,1,"K.Q,"
196,196,196,64,196,64,1,0,"KQT softmax * V,"
196,64,64,196,196,196,1,1,"K.Q,"
196,196,196,64,196,64,1,0,"KQT softmax * V,"
196,64,64,196,196,196,1,1,"K.Q,"
196,196,196,64,196,64,1,0,"KQT softmax * V,"
196,64,64,196,196,196,1,1,"K.Q,"
196,196,196,64,196,64,1,0,"KQT softmax * V,"
196,64,64,196,196,196,1,1,"K.Q,"
196,196,196,64,196,64,1,0,"KQT softmax * V,"
196,64,64,196,196,196,1,1,"K.Q,"
196,196,196,64,196,64,1,0,"KQT softmax * V,"
196,64,64,196,196,196,1,1,"K.Q,"
196,196,196,64,196,64,1,0,"KQT softmax * V,"
196,64,64,196,196,196,1,1,"K.Q,"
196,196,196,64,196,64,1,0,"KQT softmax * V,"
196,768,768,768,196,768,0,0,"head contact,"
196,768,768,3072,196,3072,0,0,"ff1,"
196,3072,3072,768,196,768,0,0,"ff2,"
196,768,768,768,196,768,0,0,"K,Q,V projection,"
196,768,768,768,196,768,0,0,"K,Q,V projection,"
196,768,768,768,196,768,0,0,"K,Q,V projection,"
196,64,64,196,196,196,1,1,"K.Q,"
196,196,196,64,196,64,1,0,"KQT softmax * V,"
196,64,64,196,196,196,1,1,"K.Q,"
196,196,196,64,196,64,1,0,"KQT softmax * V,"
196,64,64,196,196,196,1,1,"K.Q,"
196,196,196,64,196,64,1,0,"KQT softmax * V,"
196,64,64,196,196,196,1,1,"K.Q,"
196,196,196,64,196,64,1,0,"KQT softmax * V,"
196,64,64,196,196,196,1,1,"K.Q,"
196,196,196,64,196,64,1,0,"KQT softmax * V,"
196,64,64,196,196,196,1,1,"K.Q,"
196,196,196,64,196,64,1,0,"KQT softmax * V,"
196,64,64,196,196,196,1,1,"K.Q,"
196,196,196,64,196,64,1,0,"KQT softmax * V,"
196,64,64,196,196,196,1,1,"K.Q,"
196,196,196,64,196,64,1,0,"KQT softmax * V,"
196,64,64,196,196,196,1,1,"K.Q,"
196,196,196,64,196,64,1,0,"KQT softmax * V,"
196,64,64,196,196,196,1,1,"K.Q,"
196,196,196,64,196,64,1,0,"KQT softmax * V,"
196,64,64,196,196,196,1,1,"K.Q,"
196,196,196,64,196,64,1,0,"KQT softmax * V,"
196,64,64,196,196,196,1,1,"K.Q,"
196,196,196,64,196,64,1,0,"KQT softmax * V,"
196,768,768,768,196,768,0,0,"head contact,"
196,768,768,3072,196,3072,0,0,"ff1,"
196,3072,3072,768,196,768,0,0,"ff2,"
196,768,768,1000,196,1000,0,1,"output weight projection,"
